run_hash,instance,solver,seed,final_cost,initial_cost,improvement,improvement_pct,time_seconds,n_iterations,n_vehicles,acceptance_rate,iterations_per_second
886aedc500a23bcf38ad0fa687e8ebd7af0297edad37a9178331ae4e861b2f61,C1_10_1,simulated_annealing,48,56372.4,56375.200000000004,2.8000000000029104,0.004966722956198666,19.92332911491394,15486,130,1.0,777.2797362669523
59dc0fe27746c59190f0bc1dcb420f0b30c4b72aa0a9cb9dfb60852e05c3bd73,C101,simulated_annealing,42,1010.4000000000001,1010.4000000000001,0.0,0.0,0.27429866790771484,2062,13,1.0,7517.353313191226
dc096a906e0564c0a46f2661dc967abd37edc0a2a515240d8551458626a97547,C101,alns,51,857.4000000000001,1010.4000000000001,153.0,15.142517814726839,120.04904675483704,515,11,0.9786407766990292,4.289913280625441
9b25e4c1437570bc8baa1a63dfa04f6b5b367056029da69efc8b84179b614663,C1_6_1,simulated_annealing,42,18485.399999999994,18485.399999999994,0.0,0.0,1.1580700874328613,1535,79,1.0,1325.4810884569981
95efe971e39cc25525c3894c98f209422f99c0bc026ee9928edc255a19b3ee12,C101,alns,40,827.2999999999998,1010.4000000000001,183.10000000000025,18.121536025336525,120.05158519744873,1722,10,0.8606271777003485,14.343833920791868
73baaede5d2565da746edfd14666445ff6bb2dd9b8a6f7edbaf0abb473f14d56,C1_6_1,simulated_annealing,42,18485.399999999994,18485.399999999994,0.0,0.0,0.7033910751342773,912,79,1.0,1296.5760190032256
877297af9243f09da448be8ff727e63abf5c1faea0fce1fb464274d0235569c9,C102,simulated_annealing,42,912.0,1059.8,147.79999999999995,13.946027552368367,21.6242253780365,161210,12,0.9997704857018795,7455.0647332662065
d0b89e30e6f845712490d77f8bfc8d572b2238457f3816f2bcfad0f1106fc1d6,C102,simulated_annealing,42,1059.8,1059.8,0.0,0.0,0.05214953422546387,378,13,1.0,7248.386886175256
97bb3ad85056a62521ade49c01cd1d9aa360df39538c4487d10cb90b02d9639b,C1_4_1,simulated_annealing,42,9623.4,9623.4,0.0,0.0,0.2721712589263916,530,53,1.0,1947.3033342706399
a13ee4e02456e7c04e61a902d15535fee0d99f195d5dede0cd26014a7955c0ad,C101,alns,46,852.6,1010.4000000000001,157.80000000000007,15.617577197149648,119.26043963432312,510,10,0.984313725490196,4.276355190067756
bf8ce462d6bbb96120328745a9784fc46aea8256e15791b0e3e4542ddb98a6b3,C101,simulated_annealing,47,1009.9000000000001,1010.4000000000001,0.5,0.049485352335708624,0.23846793174743652,1768,13,1.0,7413.994775081558
4caed356290941d87a0c0d1fab559963e64317e806a51963eeb69c3799d6ae7d,C1_2_3,simulated_annealing,42,3406.6,3410.0,3.400000000000091,0.09970674486803786,0.09823250770568848,391,24,1.0,3980.352422351505
b48775acaec10c05a0cb644b224c937cf3ed2dbd63778a3ad9772ab06dcfaba7,C1_4_1,simulated_annealing,42,9619.999999999998,9623.4,3.400000000001455,0.035330548454823196,7.109325408935547,13809,53,1.0,1942.3783841211975
d55b59dd32ed925d46c5c49e0616541fbc247a622b577b904c9147d9b31c9b23,C1_10_1,alns,47,53909.100000000006,56375.200000000004,2466.0999999999985,4.374441243667426,401.30431270599365,2,123,1.0,0.004983749081872574
3b1a55c159cc7875a5d4b7074b8c8069bbb4b90fd79804fa694de7b97522d029,C101,alns,40,947.9000000000001,1010.4000000000001,62.5,6.185669041963578,103.80208897590637,2001,13,0.424287856071964,19.277068696223008
eda01a707fde885bf2a9be4e0724494565619e356c1610b02d2d3dd054af5fbb,C101,simulated_annealing,42,922.3,1010.4000000000001,88.10000000000014,8.719319081551873,18.366516828536987,138149,12,1.0,7521.785501829661
c3dc7c3b5082a11411f4dd0840bc52e6adb4b5d2be57eecc633d0bbdb2ca8812,R101,simulated_annealing,55,1945.3,1954.5,9.200000000000045,0.47070862113072626,0.2799508571624756,1441,28,0.9972241498959056,5147.331980354267
236e733b1b2968aa3b4faa64ca870365a14d23834b3b2525be6de2a1a441c208,C101,simulated_annealing,46,973.0999999999999,1010.4000000000001,37.30000000000018,3.6916072842438816,3.935006618499756,29011,13,1.0,7372.541602245287
20bdbd88bf22d4a735c534818f803f1702aa4e28a53ea58c121295aa967fbcb4,C1_6_1,simulated_annealing,42,18485.399999999994,18485.399999999994,0.0,0.0,1.5230681896209717,1993,79,1.0,1308.542856834253
16f9df8a51987b9f7761a31b49f7bfb6d615acbfe0a4701eb7f80e27a61a861f,C101,alns,40,827.3,1010.4000000000001,183.10000000000014,18.121536025336514,120.85750007629395,134,10,0.6417910447761194,1.108743767787763
7d64033bb2390565a133cdbabf7428151b1748ce6b9ea7a65d778b49ef9c168a,C1_4_1,simulated_annealing,46,9623.4,9623.4,0.0,0.0,5.123035907745361,10001,53,1.0,1952.1627761538416
de2624a2e4ce6028dcae1cd6d596ba4ef4d6f4df18fb6f98bdf786564198b6f1,C1_2_3,simulated_annealing,42,3406.6,3410.0,3.400000000000091,0.09970674486803786,0.07547187805175781,301,24,1.0,3988.2404912936895
6d1da2b5d79db11662e6c6ca62cb5264b582aec3182914dabd2d006cd88bf982,C101,alns,42,827.2999999999998,1010.4000000000001,183.10000000000025,18.121536025336525,120.02682113647461,1686,10,0.8979833926453143,14.046860393669514
de8decf4446bd5d693b6b5e1457bb9e114c77d164dda53155e0794f128ee568f,C101,simulated_annealing,42,1010.4000000000001,1010.4000000000001,0.0,0.0,0.05351686477661133,378,13,1.0,7063.194033840315
8e1101251a7cb814ea169a46cc23db1d66bd76993f3f7be2197789d481022d54,C101,simulated_annealing,42,985.3000000000002,1010.4000000000001,25.09999999999991,2.484164687252564,2.769864559173584,20713,13,1.0,7477.9829690228335
3da0a201ac35ae609a3e80f821323830e4c554c54f93daa0b6b4475ae6c7e3fb,C102,simulated_annealing,42,1059.8,1059.8,0.0,0.0,0.08184432983398438,583,13,1.0,7123.279049172687
b6eb6be670b8bb87a7d4434c6526450011514a012a22fa24bb6086d84c44ea3f,C101,alns,49,873.9000000000001,1010.4000000000001,136.5,13.509501187648453,120.0162525177002,533,11,0.949343339587242,4.441065179246388
cdf184e8d3589e1f3496c7cd5ae91f40056df2adf87cc2501b498f2e6a877a56,C1_2_3,simulated_annealing,42,3219.5999999999995,3410.0,190.40000000000055,5.583577712609987,43.12666082382202,177336,24,0.999610908106645,4111.980770420424
973880f7dc1c810bb727516d2e1b76c66613ccec3863fbfa227ddf94d547df40,C101,alns,42,827.3000000000001,1010.4000000000001,183.10000000000002,18.1215360253365,179.1319227218628,826,10,0.9612590799031477,4.611126746417644
8651747e210af2a6a5c91c71d56a4fe10f8a6b0967f8bf21e384bac6c6f794b6,C1_4_1,simulated_annealing,42,9623.4,9623.4,0.0,0.0,0.34250426292419434,658,53,1.0,1921.1439717047656
6696aa7c4ea75b77a72f34a4ee591cec0107f497221d54c9020c68a2aa06e69d,C1_2_1,alns,48,3147.6,3454.0,306.4000000000001,8.870874348581358,240.12917017936707,136,23,0.9705882352941176,0.5663618455784165
a94d47e7c230acaf8f46328efdd401980c62b77d595c05c21efccaa1fee8ebf4,C1_4_1,simulated_annealing,42,9623.4,9623.4,0.0,0.0,0.23093342781066895,454,53,1.0,1965.9345305878041
37bd04f85fce4c8f7ea295b213c0d2344e4ba9bbd63fae5a322c7c8a29e78d07,C101,alns,0,888.8,1010.4000000000001,121.60000000000014,12.034837688044352,131.79633712768555,574,11,0.9773519163763066,4.355204495887494
6e684b2a353b6f5a9965a0d1db94a4ded189b0f49077812bdc5a704e7ad7e0d0,C101,simulated_annealing,42,1007.9000000000001,1010.4000000000001,2.5,0.24742676167854313,2.0652616024017334,15418,13,1.0,7465.3980793862165
1fda6e673d61f4e315bc4e5f45c18588a474e100f8d26c84e3c34da2431f0a93,C1_4_1,simulated_annealing,42,9623.4,9623.4,0.0,0.0,0.4661085605621338,912,53,1.0,1956.6257244881206
5660cc5f50e48384f926751f17bbe334eab1d91044ca6f6970de90a6f3905540,C101,simulated_annealing,47,965.2,1010.4000000000001,45.200000000000045,4.473475851148065,4.017632961273193,29011,12,1.0,7220.918456126558
14d7a94b460d6d5ff014cf65f3bb9990e662e31831213ba7b7eb129e54926bb7,C1_2_1,alns,44,3146.2,3454.0,307.8000000000002,8.911407064273313,240.76048064231873,129,22,0.9689922480620154,0.5358022199317937
3127ce4173a709fdb685021b17c3b3608f3257536c4be766a007204002195b1f,C101,alns,44,938.4000000000001,1010.4000000000001,72.0,7.125890736342042,5.072799205780029,23,12,1.0,4.533985885700626
d538a9bae32d756265d77ebf568626c5cd60d16899c975ba2392637dabd9ef65,C101,alns,41,827.3,1010.4000000000001,183.10000000000014,18.121536025336514,120.2778332233429,131,10,0.6259541984732825,1.0891449944625058
79b1d9bebee5ff68f919daac82ff1f4b64f4252b658e48c726ce7e7d8a1b6f59,C101,alns,40,827.3,1010.4000000000001,183.10000000000014,18.121536025336514,120.14385604858398,140,10,0.8785714285714286,1.1652697408295813
f56607306cb0c0b09650a9afa8320c44171eec04e67dbdcc2795398b1e412bec,C101,alns,40,827.3000000000001,1010.4000000000001,183.10000000000002,18.1215360253365,120.01230812072754,257,10,0.669260700389105,2.1414470234292002
27a1d6c15bcbfc0713d97a33366e7491a26521372c31b6f33f211eeeb76eebf1,C1_4_1,simulated_annealing,42,9623.4,9623.4,0.0,0.0,0.1853015422821045,360,53,1.0,1942.7792967418113
42499933137bd1b268233d79e3cc2056d4154531a568b4af683cf0071ee1de34,C101,simulated_annealing,49,1010.4000000000001,1010.4000000000001,0.0,0.0,0.13597512245178223,1000,13,1.0,7354.286445703385
